@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 61'

@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns31' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns399' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns427' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns396' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns139' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns540' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns111' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns549' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns15' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns405' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns153' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns103' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns476' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns513' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns543' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns12' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns0' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns26' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns147' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns39' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns175' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns471' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns21' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns468' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns541' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns75' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns123' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns9' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns363' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns67' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns535' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns431' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns391' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns32' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns571' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns359' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns25' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns324' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns503' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns401' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns327' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns6' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns355' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns24' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns397' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns332' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns134' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns411' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns507' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns360' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns108' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns404' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns472' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns117' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns14' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns402' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns545' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns403' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns504' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns7' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
0,0,0,0,1,0,3,0,0,0,0,0,0,15,0,1,0,3,0,0,1,0,0,0,4,5,0,0,0,1,0,1,2,0,1,0,6,0,6,10,0,1,0,0,0,4,15,0,0,0,5,1,15,6,0,0,0,1,0,3,0,Faces_easy
1,1,0,0,2,1,2,1,0,0,0,1,2,13,0,0,1,10,1,1,1,1,1,1,9,5,2,0,2,2,1,1,3,1,2,0,14,1,9,12,0,1,1,1,1,5,10,1,0,0,10,8,15,6,1,1,0,0,0,4,1,Faces_easy
0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,15,0,0,0,0,6,15,1,2,0,0,0,0,0,0,Faces_easy
1,1,0,0,3,1,3,1,0,0,0,1,0,15,0,0,0,5,1,1,1,1,0,1,5,4,0,0,1,0,1,0,4,1,2,0,13,0,6,10,0,0,1,0,0,6,13,1,0,0,7,5,15,9,1,0,0,1,0,3,1,Faces_easy
0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,1,0,6,1,0,0,1,0,0,0,1,0,0,0,4,0,5,8,0,0,0,0,0,0,15,0,0,0,2,1,15,8,1,0,0,0,0,2,0,Faces_easy
0,0,0,0,3,0,4,0,0,0,0,0,0,15,0,0,0,6,1,0,1,0,1,1,7,8,1,0,0,1,1,0,4,0,1,0,9,0,10,9,0,1,1,0,0,7,7,0,0,0,7,5,15,6,1,0,0,0,0,5,1,Faces_easy
0,0,0,0,1,0,1,0,0,0,0,3,0,15,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,1,0,1,2,0,0,0,0,0,2,15,0,0,0,1,2,15,4,0,0,0,0,0,1,0,Faces_easy
0,0,0,0,1,0,2,0,0,0,0,0,0,13,0,0,0,3,1,0,1,0,0,1,2,4,0,0,0,2,1,1,3,1,1,0,15,0,1,15,0,0,0,0,0,4,7,0,0,1,6,2,15,5,0,0,0,0,0,6,0,Faces_easy
0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,7,0,2,3,0,0,0,1,0,1,15,0,0,0,0,2,15,3,0,0,0,0,0,0,0,Faces_easy
1,0,1,1,4,1,3,1,0,0,0,1,0,15,0,0,0,6,1,1,1,1,0,1,5,5,0,0,2,1,0,0,4,0,1,0,7,0,9,6,1,1,1,0,0,7,15,1,1,0,4,8,15,7,1,0,0,0,1,2,1,Faces_easy
0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,1,1,15,8,0,0,0,0,0,0,0,Faces_easy
1,0,0,0,4,0,3,0,0,0,1,1,1,15,0,0,0,6,1,0,1,0,1,1,8,6,1,0,1,1,1,2,5,1,1,0,13,0,11,11,0,2,1,1,0,8,12,1,0,2,9,4,15,6,1,0,1,0,0,7,1,Faces_easy
2,2,1,1,10,1,13,1,4,1,3,1,2,14,0,1,1,11,1,1,3,0,2,1,7,15,2,1,1,1,3,0,4,1,2,0,10,2,11,10,3,2,1,3,1,15,15,0,0,0,9,12,8,10,2,2,3,2,1,0,1,Faces_easy
1,1,0,0,4,1,1,1,0,1,0,1,0,13,0,0,1,8,1,1,1,0,0,1,5,3,0,1,2,0,1,0,5,0,2,0,11,1,9,5,1,1,1,1,1,6,15,1,0,0,1,8,15,4,1,1,0,0,0,2,1,Faces_easy
1,1,1,1,8,2,7,2,0,0,1,1,0,15,0,1,0,7,1,1,0,2,1,1,3,8,0,1,1,0,1,0,8,0,2,1,11,1,7,4,1,0,1,0,1,11,15,1,1,0,3,10,15,9,1,1,0,1,1,3,1,Faces_easy
0,0,0,0,2,0,2,0,0,0,0,1,0,15,0,0,0,4,0,0,0,0,1,1,4,4,1,0,1,1,0,0,2,0,1,0,9,0,3,12,0,0,1,1,0,3,15,0,0,1,7,4,15,5,1,0,0,0,0,4,0,Faces_easy
1,0,1,0,5,1,3,1,0,0,1,1,0,15,0,0,0,5,1,0,1,0,0,1,2,6,0,0,1,0,1,0,6,0,1,0,14,0,3,8,0,1,0,0,0,6,14,1,0,0,3,6,15,3,1,0,1,1,0,3,1,Faces_easy
0,0,1,1,6,1,7,1,1,0,1,0,0,15,0,1,0,6,1,0,0,0,0,1,2,9,0,0,2,1,0,0,6,0,2,1,7,0,4,2,1,0,1,0,0,11,15,1,0,0,8,6,15,7,1,0,0,1,0,6,1,Faces_easy
0,0,0,0,2,0,2,0,0,0,0,0,1,13,0,0,0,4,0,0,0,0,1,0,8,4,0,0,1,0,0,1,4,1,1,0,15,0,6,15,0,0,0,0,0,5,12,0,0,0,3,4,15,10,2,0,0,0,0,3,0,Faces_easy
0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,8,0,4,6,0,1,0,1,0,1,15,0,0,0,0,0,15,5,0,0,0,0,0,0,0,Faces_easy
0,0,0,0,1,0,5,0,0,0,0,0,0,15,8,0,0,4,0,0,0,0,0,0,2,15,1,0,2,0,0,0,3,0,1,0,12,0,3,12,0,1,0,0,0,3,15,0,0,0,1,1,15,4,1,0,0,1,0,0,0,Faces_easy
0,0,0,0,1,0,2,0,0,0,0,2,0,15,0,0,0,4,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,3,15,0,0,0,1,4,15,2,1,0,0,0,0,1,0,Faces_easy
1,1,1,1,7,1,4,2,0,0,1,1,0,15,0,0,1,6,1,1,0,1,0,1,3,6,0,1,1,0,0,0,7,1,1,0,6,0,5,2,1,0,1,0,0,10,15,1,1,0,7,8,15,12,1,1,2,1,1,3,1,Faces_easy
0,0,0,0,3,0,6,0,0,0,0,0,1,15,0,0,0,5,1,0,1,0,3,1,9,10,1,0,0,1,1,1,4,1,1,0,5,0,12,7,0,1,1,1,0,4,10,0,0,0,8,2,15,9,0,0,0,1,0,5,0,Faces_easy
0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,15,0,0,0,0,1,15,5,0,0,0,0,0,0,0,Faces_easy
1,1,0,1,6,0,5,0,0,0,0,1,1,15,0,0,0,7,1,0,1,1,2,1,9,9,1,0,1,1,2,1,8,1,2,1,10,1,8,14,1,1,1,2,0,10,10,1,0,0,8,6,15,7,0,1,1,1,1,5,1,Faces_easy
0,0,1,0,2,0,2,0,0,0,0,0,0,15,0,0,0,4,0,0,1,0,0,0,4,4,0,0,0,1,0,0,4,1,1,0,7,0,5,6,0,2,0,0,0,5,15,0,0,0,6,4,15,5,0,0,0,0,0,4,0,Faces_easy
0,0,0,0,3,0,3,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,6,6,0,0,1,0,0,1,4,0,1,0,11,0,4,13,0,0,0,1,0,6,5,0,0,0,3,4,15,8,1,0,0,0,0,4,0,Faces_easy
1,1,1,0,5,1,5,2,0,0,0,0,0,15,0,1,0,5,1,1,0,1,0,1,0,10,0,1,1,0,1,1,7,0,1,1,15,0,1,15,1,0,1,0,0,8,10,1,0,1,3,7,15,3,1,0,1,1,0,2,1,Faces_easy
0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,6,0,0,0,0,0,0,3,2,0,0,2,0,0,0,3,0,1,0,5,0,3,4,0,0,0,0,0,4,15,0,0,0,1,9,15,6,4,0,0,0,0,1,0,Faces_easy
2,1,0,0,2,2,1,2,0,1,0,1,1,15,0,1,1,8,2,2,2,1,2,2,7,5,1,1,1,1,2,1,3,2,2,0,11,1,10,8,0,1,2,1,1,5,13,2,0,1,7,10,15,6,0,1,0,0,1,3,1,Faces_easy
1,1,1,1,4,0,5,0,0,0,0,1,1,12,1,0,0,8,1,1,1,1,3,1,15,8,0,0,2,1,1,1,5,0,2,0,11,0,10,13,0,3,1,1,0,6,7,0,0,1,10,4,15,14,0,0,0,0,0,9,1,Faces_easy
0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,15,0,0,0,0,1,15,5,0,0,0,0,0,0,1,Faces_easy
0,0,0,0,5,0,4,0,0,0,0,1,0,15,1,0,0,4,0,0,0,0,0,0,3,8,0,0,2,0,0,1,5,1,1,0,3,0,2,12,0,0,0,0,0,6,15,0,0,1,9,4,15,7,0,0,0,0,0,8,0,Faces_easy
0,0,0,0,2,0,2,0,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,0,5,4,0,0,0,0,0,0,2,0,1,0,0,0,0,8,0,0,0,0,0,2,15,0,0,0,0,4,15,4,0,0,0,0,0,1,0,Faces_easy
0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,2,1,0,1,0,0,0,0,15,0,0,0,1,1,15,5,0,0,0,0,0,1,0,Faces_easy
2,1,1,0,5,1,3,2,0,1,0,2,2,7,1,0,1,11,2,1,1,1,1,2,9,7,2,0,2,1,1,1,8,1,3,0,7,1,10,9,1,1,2,0,1,8,8,2,0,0,11,11,15,4,1,1,1,1,0,7,2,Faces_easy
0,0,0,0,1,0,2,0,0,0,0,1,0,15,0,0,0,4,0,0,0,0,0,0,2,4,0,0,1,0,0,0,2,0,0,0,2,0,1,4,0,0,0,0,0,2,15,0,0,0,2,4,15,6,1,0,0,0,0,2,0,Faces_easy
0,0,0,0,1,0,1,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,15,0,0,0,2,1,15,3,0,0,0,0,0,1,0,Faces_easy
0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,1,15,0,0,0,0,1,15,1,0,0,0,0,0,0,0,Faces_easy
0,0,0,0,2,0,3,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,2,6,0,0,0,0,0,0,3,0,1,0,6,0,1,5,0,0,0,0,0,4,15,0,0,0,2,4,15,6,0,0,0,0,0,1,0,Faces_easy
0,0,0,0,3,0,3,0,0,0,0,1,0,15,0,0,0,5,1,0,1,0,2,1,6,5,1,0,1,1,1,0,5,1,1,0,7,0,5,8,0,0,1,1,0,5,10,1,0,0,7,4,15,6,1,0,0,0,0,6,1,Faces_easy
0,0,0,0,1,0,1,0,0,0,0,0,0,12,0,0,0,4,0,0,1,0,2,1,9,3,1,0,1,2,1,1,3,2,1,0,9,0,4,11,0,0,1,0,0,3,15,0,0,1,10,2,15,4,0,0,0,0,0,5,1,Faces_easy
0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,15,1,2,0,0,0,0,0,0,Faces_easy
0,0,0,0,4,1,2,1,0,0,1,1,0,15,0,0,0,4,1,0,0,0,0,1,0,4,0,0,1,0,0,0,5,0,1,0,15,0,0,9,0,0,0,0,0,6,15,1,0,0,2,6,15,2,1,0,1,0,0,3,0,Faces_easy
1,1,1,0,6,1,5,2,1,1,1,2,0,15,1,0,0,10,1,1,0,1,0,1,2,8,1,1,1,1,1,0,7,1,2,0,0,1,15,1,1,0,1,0,1,8,0,1,0,1,5,13,15,9,1,1,1,1,0,4,1,Faces_easy
0,0,0,1,5,0,3,0,0,0,0,0,1,6,0,0,0,5,0,0,1,0,0,1,5,6,0,0,1,2,0,2,4,1,1,0,10,0,9,7,0,0,1,1,0,5,5,0,0,0,8,4,15,5,0,0,0,1,0,6,0,Faces_easy
0,1,1,0,4,1,5,1,0,0,0,1,0,15,0,0,0,5,1,1,0,1,0,1,1,8,0,0,1,0,0,0,5,0,1,0,15,0,4,5,0,0,1,1,0,7,11,1,0,0,5,7,15,3,2,0,0,1,1,3,1,Faces_easy
1,1,0,0,4,0,4,0,0,0,1,3,1,10,0,0,0,8,1,0,1,0,1,1,8,7,0,0,3,1,1,1,4,1,1,1,10,0,8,10,0,1,1,1,0,8,8,0,0,1,8,7,15,5,4,0,0,1,0,5,1,Faces_easy
1,1,0,0,3,1,3,1,0,0,0,2,0,15,0,1,0,7,1,1,1,1,0,1,3,6,0,1,1,0,0,0,3,1,1,1,7,1,7,6,0,1,1,0,1,5,15,1,0,0,3,7,15,8,1,1,1,0,1,1,1,Faces_easy
0,0,0,0,2,0,2,0,0,0,0,0,0,15,0,0,0,4,0,0,0,0,1,1,6,3,1,0,1,0,0,0,3,0,1,0,3,0,5,6,0,0,1,0,0,3,15,0,0,0,3,5,15,8,1,0,0,0,0,4,0,Faces_easy
1,1,0,0,6,1,6,1,1,0,0,1,1,12,0,0,0,8,1,1,0,1,0,2,6,10,1,0,2,0,0,2,10,1,2,1,6,0,4,7,0,0,1,0,0,12,15,2,0,1,10,8,14,3,2,0,0,1,0,5,2,Faces_easy
0,0,0,0,1,0,1,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,1,4,4,0,0,1,1,1,0,3,1,1,0,8,0,2,5,0,0,0,0,0,2,15,0,0,0,4,2,15,8,0,0,0,0,0,2,0,Faces_easy
0,0,0,0,2,0,3,0,0,0,0,0,0,15,0,0,0,3,1,0,0,0,0,1,2,4,0,0,0,1,0,0,2,1,1,1,12,0,3,5,0,0,1,0,0,6,11,0,0,1,9,2,15,3,0,0,0,1,0,4,1,Faces_easy
1,0,0,0,4,0,4,0,0,0,0,1,1,13,0,1,0,7,1,1,1,0,0,1,9,6,1,0,1,1,1,1,5,1,1,1,5,1,6,7,0,0,1,0,1,7,5,0,0,1,7,5,15,6,0,1,0,0,0,8,1,Faces_easy
0,0,0,0,2,0,2,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,1,0,13,4,0,0,1,0,0,0,2,0,1,0,15,0,6,12,1,1,0,0,0,3,10,0,0,0,2,2,15,6,0,0,0,0,0,2,0,Faces_easy
0,0,0,0,2,0,2,0,0,0,0,0,0,15,0,0,0,4,0,0,0,0,2,1,7,4,1,0,1,0,0,0,3,0,1,0,3,0,5,8,0,0,1,0,0,4,15,0,0,0,3,3,15,6,0,0,0,0,0,4,1,Faces_easy
0,0,0,0,2,0,3,1,1,0,0,0,0,15,0,0,0,5,1,1,1,1,0,1,2,8,0,0,1,1,1,0,3,1,1,1,15,0,6,10,0,1,1,1,0,5,13,1,0,0,10,5,15,4,0,0,0,0,0,4,0,Faces_easy
0,0,0,0,2,0,3,0,0,0,0,0,1,4,0,0,0,4,1,0,1,0,1,1,9,6,0,0,0,1,1,1,3,0,1,1,8,0,9,8,1,2,0,0,0,4,10,1,0,0,8,4,15,2,0,0,0,1,0,4,1,Faces_easy
0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,5,0,0,0,0,0,0,0,Faces_easy
0,0,0,0,3,1,2,1,0,0,0,1,0,15,0,0,0,4,1,0,0,0,0,1,2,3,0,1,1,0,0,0,3,0,1,0,4,0,4,2,1,0,0,0,0,6,15,1,0,0,3,5,15,10,1,0,1,0,0,2,1,Faces_easy
2,2,0,1,3,2,0,2,0,1,0,2,3,15,0,0,1,11,2,2,3,3,1,2,5,0,2,1,2,0,3,0,8,0,3,0,13,2,12,9,0,3,2,4,2,9,15,1,0,0,0,9,15,9,1,1,1,0,1,0,2,Faces_easy
0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,9,0,0,0,0,0,0,0,Faces_easy
0,0,0,0,2,0,1,0,0,0,0,1,0,15,0,0,0,4,0,0,1,0,1,1,5,4,1,0,1,0,1,0,3,0,1,0,13,0,8,8,0,1,1,1,0,6,14,0,0,1,7,4,15,5,1,0,0,0,0,3,1,Faces_easy
0,0,0,0,1,0,1,0,0,0,0,2,0,15,0,0,0,2,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,2,15,0,0,0,1,1,15,7,0,0,0,0,0,0,0,Faces_easy
0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5,0,0,0,0,0,0,15,0,0,0,0,1,15,4,0,0,0,0,0,0,0,Faces_easy
0,0,0,0,1,0,1,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,1,0,3,4,0,0,0,0,0,0,1,0,0,0,8,0,9,4,0,0,0,1,0,2,15,0,0,1,4,1,15,6,0,0,0,0,0,3,0,Faces_easy
1,1,0,0,4,0,4,1,0,0,0,1,1,11,1,0,0,7,1,1,1,1,1,1,10,7,1,0,1,1,2,2,5,1,2,0,8,1,8,8,0,1,1,2,1,8,9,1,0,1,10,5,15,9,1,1,0,1,1,6,1,Faces_easy
0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,3,0,2,1,0,0,0,0,0,2,15,0,0,0,0,2,15,5,0,0,0,0,0,0,0,Faces_easy
0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,15,0,2,1,0,2,0,0,0,3,15,0,0,0,3,2,15,0,0,0,0,0,0,1,0,Faces_easy
0,0,0,0,4,0,4,0,0,0,0,0,0,15,0,2,0,2,0,0,0,0,0,0,4,3,0,0,0,0,0,0,6,0,0,1,6,0,0,9,0,0,0,0,0,12,15,0,0,0,6,1,15,9,0,0,0,0,0,2,0,Faces_easy
0,0,0,0,1,0,1,0,0,0,0,1,0,15,0,0,0,3,0,1,0,0,0,0,0,2,0,0,1,0,0,0,2,0,1,0,13,0,1,3,0,0,0,0,0,4,15,0,0,0,3,2,15,3,0,0,0,0,0,0,0,Faces_easy
0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,2,0,0,0,0,0,0,0,Faces_easy
0,0,0,0,2,0,2,0,0,0,0,1,0,15,0,0,0,4,0,0,0,0,0,0,4,5,0,0,2,0,0,0,2,0,1,0,7,0,4,3,0,0,0,0,0,5,15,0,0,0,1,3,15,4,1,0,0,0,0,2,0,Faces_easy
0,0,0,0,1,0,2,0,0,0,0,1,0,15,0,0,0,5,1,0,1,1,0,1,3,5,0,0,1,1,1,0,3,0,1,0,8,0,9,6,0,1,1,2,0,3,15,0,0,0,5,2,15,8,0,0,0,0,0,5,1,Faces_easy
0,0,0,0,3,0,3,0,0,0,0,0,0,13,0,0,0,4,1,1,0,0,0,1,4,5,0,0,1,0,1,0,2,0,1,0,15,0,5,7,0,0,1,1,0,3,8,0,0,0,4,4,15,5,0,0,0,1,0,2,0,Faces_easy
1,1,1,0,4,1,2,2,0,0,1,2,1,15,0,0,0,9,1,1,0,1,0,0,0,4,1,1,1,0,0,0,3,0,1,1,2,1,0,0,2,0,1,0,1,10,15,0,0,0,2,13,15,3,1,2,0,0,0,2,1,Faces_easy
0,0,0,0,3,0,2,0,0,0,0,0,0,15,1,0,0,3,1,0,0,0,0,1,2,5,0,0,0,0,1,1,3,1,1,0,8,0,7,2,0,2,0,4,0,5,15,0,0,1,6,2,15,7,0,0,0,0,0,5,0,Faces_easy
0,1,0,0,3,2,2,1,0,0,0,0,0,15,0,0,0,5,1,0,1,0,0,1,4,3,0,0,1,0,1,0,4,0,1,0,13,0,11,8,0,2,0,1,0,5,11,1,0,0,2,9,15,1,1,0,0,0,0,2,1,Faces_easy
0,0,0,0,1,0,1,0,0,0,0,1,1,10,0,0,0,4,1,0,0,0,1,1,6,2,1,0,1,0,0,0,2,0,1,0,12,0,6,11,0,1,0,1,0,2,15,0,0,1,2,2,15,8,0,0,0,0,0,5,0,Faces_easy
0,0,0,0,2,0,2,0,0,0,0,1,1,15,0,1,0,4,1,1,0,1,0,1,3,5,0,0,0,0,0,1,3,0,1,0,11,0,5,4,0,0,1,0,0,3,15,0,0,0,0,4,15,5,0,0,0,1,0,2,0,Faces_easy
0,0,0,0,1,0,0,0,0,0,0,1,0,15,0,0,0,4,1,1,0,1,2,0,8,2,0,0,2,0,0,0,1,0,1,0,5,0,1,12,0,0,0,0,0,2,15,0,0,0,1,4,15,6,2,0,0,0,0,1,0,Faces_easy
0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,8,0,3,3,0,0,0,0,0,1,15,0,0,0,0,1,15,5,0,0,0,0,0,0,0,Faces_easy
0,0,0,0,3,0,1,0,0,0,0,1,1,8,0,0,0,5,1,1,0,1,0,1,15,2,0,0,1,1,0,1,3,0,1,0,0,0,0,8,0,0,1,0,0,5,0,0,0,0,6,3,15,10,0,0,0,1,0,3,1,Faces_easy
0,0,0,0,2,0,2,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,1,0,3,0,2,3,0,0,0,0,0,3,15,0,0,0,2,4,15,8,0,0,0,0,0,1,0,Faces_easy
0,0,0,0,2,0,2,1,0,0,0,1,0,15,0,0,0,5,0,0,1,0,1,1,4,3,0,0,1,0,1,1,3,0,1,0,8,0,5,3,0,1,1,1,0,3,15,0,0,0,2,6,15,7,1,0,0,0,0,2,1,Faces_easy
0,0,0,0,2,0,2,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,5,4,0,0,0,0,0,0,3,0,1,0,8,0,9,6,0,1,0,0,0,5,12,0,0,1,5,3,15,4,0,0,0,0,0,4,0,Faces_easy
1,0,0,0,4,1,3,1,0,0,0,1,1,15,0,0,0,6,1,0,1,0,1,1,8,5,1,0,1,0,0,0,4,0,1,1,7,0,8,11,0,2,1,1,0,6,10,1,0,1,4,5,15,9,1,0,0,1,0,2,1,Faces_easy
0,0,0,0,3,0,4,0,0,0,0,0,0,13,0,1,0,5,1,1,1,0,1,1,7,9,1,0,1,1,1,1,4,2,1,0,9,0,6,10,0,0,1,0,0,7,14,1,0,1,9,4,15,5,0,0,0,1,0,6,1,Faces_easy
1,1,0,0,3,0,2,0,0,0,0,0,1,11,0,0,0,6,1,0,2,0,1,1,10,4,1,0,0,0,2,0,4,1,1,0,11,1,14,9,1,2,1,2,0,5,10,0,0,0,4,3,15,8,0,1,0,0,0,5,1,Faces_easy
1,0,0,0,2,0,3,0,0,0,1,0,0,10,1,0,0,6,1,0,1,0,2,1,10,6,1,0,2,1,1,0,3,1,2,0,14,0,5,13,1,1,1,0,0,4,7,0,0,1,9,3,15,8,2,0,0,0,0,9,1,Faces_easy
