@relation datubasea-weka.filters.unsupervised.instance.imagefilter.JpegCoefficientFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original

@attribute 'Histogram of JPEG Coefficients93' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
11,airplanes
3,airplanes
2,airplanes
13,airplanes
3,airplanes
4,airplanes
6,airplanes
2,airplanes
5,airplanes
8,airplanes
15,airplanes
6,airplanes
17,airplanes
5,airplanes
1,airplanes
2,airplanes
14,airplanes
5,airplanes
2,airplanes
4,airplanes
8,airplanes
15,airplanes
14,airplanes
2,airplanes
4,airplanes
8,airplanes
13,airplanes
14,airplanes
4,airplanes
7,airplanes
7,airplanes
14,airplanes
16,airplanes
9,airplanes
13,airplanes
10,airplanes
4,airplanes
18,airplanes
8,airplanes
9,airplanes
10,airplanes
3,airplanes
14,airplanes
5,airplanes
1,airplanes
15,airplanes
10,airplanes
20,airplanes
8,airplanes
12,airplanes
2,airplanes
15,airplanes
14,airplanes
9,airplanes
3,airplanes
2,airplanes
5,airplanes
4,airplanes
1,airplanes
11,airplanes
17,airplanes
5,airplanes
3,airplanes
4,airplanes
12,airplanes
2,airplanes
3,airplanes
7,airplanes
7,airplanes
5,airplanes
4,airplanes
13,airplanes
11,airplanes
15,airplanes
5,airplanes
21,airplanes
9,airplanes
2,airplanes
13,airplanes
11,airplanes
5,airplanes
6,airplanes
10,airplanes
12,airplanes
5,airplanes
14,airplanes
8,airplanes
15,airplanes
8,airplanes
13,airplanes
10,airplanes
8,airplanes
15,airplanes
2,airplanes
3,airplanes
7,airplanes
7,airplanes
2,airplanes
10,airplanes
10,airplanes
7,airplanes
3,airplanes
4,airplanes
1,airplanes
6,airplanes
8,airplanes
7,airplanes
17,airplanes
2,airplanes
23,airplanes
7,airplanes
3,airplanes
3,airplanes
14,airplanes
17,airplanes
12,airplanes
12,airplanes
5,airplanes
11,airplanes
6,airplanes
7,airplanes
14,airplanes
6,airplanes
17,airplanes
6,airplanes
7,airplanes
10,airplanes
7,airplanes
14,airplanes
20,airplanes
4,airplanes
11,airplanes
7,airplanes
3,airplanes
16,airplanes
9,airplanes
12,airplanes
13,airplanes
19,airplanes
11,airplanes
11,airplanes
10,airplanes
12,airplanes
5,airplanes
10,airplanes
23,airplanes
4,airplanes
7,airplanes
10,airplanes
17,airplanes
15,airplanes
7,airplanes
6,airplanes
10,airplanes
4,airplanes
6,airplanes
6,airplanes
11,airplanes
12,airplanes
12,airplanes
9,airplanes
2,airplanes
6,airplanes
13,airplanes
5,airplanes
4,airplanes
11,airplanes
7,airplanes
11,airplanes
5,airplanes
9,airplanes
9,airplanes
15,airplanes
19,airplanes
3,airplanes
6,airplanes
15,airplanes
6,airplanes
5,airplanes
12,airplanes
23,airplanes
10,airplanes
8,airplanes
4,airplanes
14,airplanes
11,airplanes
5,airplanes
7,airplanes
4,airplanes
8,airplanes
9,airplanes
3,airplanes
14,airplanes
11,airplanes
12,airplanes
4,airplanes
2,airplanes
4,airplanes
4,airplanes
19,airplanes
3,airplanes
12,airplanes
12,airplanes
17,airplanes
12,airplanes
7,airplanes
5,airplanes
9,airplanes
18,airplanes
18,airplanes
18,airplanes
9,airplanes
4,airplanes
9,airplanes
28,airplanes
3,airplanes
11,airplanes
3,airplanes
7,airplanes
4,airplanes
9,airplanes
17,airplanes
14,airplanes
6,airplanes
16,airplanes
4,airplanes
16,airplanes
10,airplanes
3,airplanes
7,airplanes
8,airplanes
6,airplanes
3,airplanes
11,airplanes
8,airplanes
18,airplanes
4,airplanes
13,airplanes
13,airplanes
5,airplanes
5,airplanes
3,airplanes
8,airplanes
4,airplanes
11,airplanes
5,airplanes
2,airplanes
7,airplanes
18,airplanes
3,airplanes
7,airplanes
9,airplanes
13,airplanes
4,airplanes
15,airplanes
10,airplanes
8,airplanes
7,airplanes
11,airplanes
5,airplanes
4,airplanes
11,airplanes
2,airplanes
9,airplanes
10,airplanes
9,airplanes
12,airplanes
19,airplanes
14,airplanes
6,airplanes
10,airplanes
10,airplanes
6,airplanes
7,airplanes
7,airplanes
21,airplanes
13,airplanes
18,airplanes
24,airplanes
9,airplanes
11,airplanes
11,airplanes
11,airplanes
10,airplanes
18,airplanes
4,airplanes
5,airplanes
11,airplanes
15,airplanes
6,airplanes
5,airplanes
10,airplanes
18,airplanes
8,airplanes
9,airplanes
19,airplanes
14,airplanes
17,airplanes
14,airplanes
9,airplanes
8,airplanes
9,airplanes
8,airplanes
12,airplanes
4,airplanes
2,airplanes
3,airplanes
6,airplanes
13,airplanes
15,airplanes
4,airplanes
4,airplanes
12,airplanes
1,airplanes
13,airplanes
5,airplanes
3,airplanes
12,airplanes
12,airplanes
19,dollar_bill
11,dollar_bill
22,dollar_bill
14,dollar_bill
21,dollar_bill
10,dollar_bill
19,dollar_bill
27,dollar_bill
30,dollar_bill
15,dollar_bill
9,dollar_bill
6,dollar_bill
5,dollar_bill
20,dollar_bill
19,dollar_bill
0,dollar_bill
18,dollar_bill
27,dollar_bill
19,dollar_bill
14,dollar_bill
17,dollar_bill
11,dollar_bill
19,dollar_bill
0,dollar_bill
22,dollar_bill
18,dollar_bill
25,dollar_bill
13,dollar_bill
19,dollar_bill
22,dollar_bill
22,dollar_bill
13,dollar_bill
0,dollar_bill
15,dollar_bill
22,dollar_bill
12,dollar_bill
17,dollar_bill
10,dollar_bill
22,dollar_bill
16,dollar_bill
18,dollar_bill
14,dollar_bill
24,dollar_bill
13,dollar_bill
17,dollar_bill
18,dollar_bill
23,dollar_bill
18,dollar_bill
13,dollar_bill
23,dollar_bill
20,dollar_bill
18,dollar_bill
11,dolphin
25,dolphin
10,dolphin
18,dolphin
14,dolphin
31,dolphin
18,dolphin
21,dolphin
6,dolphin
17,dolphin
23,dolphin
26,dolphin
5,dolphin
13,dolphin
14,dolphin
11,dolphin
21,dolphin
20,dolphin
9,dolphin
14,dolphin
20,dolphin
19,dolphin
21,dolphin
21,dolphin
10,dolphin
14,dolphin
16,dolphin
50,dolphin
20,dolphin
2,dolphin
8,dolphin
29,dolphin
32,dolphin
14,dolphin
13,dolphin
14,dolphin
26,dolphin
21,dolphin
9,dolphin
15,dolphin
9,dolphin
8,dolphin
34,dolphin
12,dolphin
26,dolphin
23,dolphin
7,dolphin
21,dolphin
13,dolphin
9,dolphin
25,dolphin
11,dolphin
8,dolphin
16,dolphin
16,dolphin
0,dolphin
24,dolphin
15,dolphin
18,dolphin
1,dolphin
21,dolphin
26,dolphin
18,dolphin
17,dolphin
8,dolphin
20,accordion
24,accordion
49,accordion
21,accordion
24,accordion
18,accordion
18,accordion
13,accordion
0,accordion
42,accordion
21,accordion
26,accordion
14,accordion
25,accordion
34,accordion
11,accordion
19,accordion
25,accordion
32,accordion
20,accordion
21,accordion
27,accordion
15,accordion
20,accordion
13,accordion
8,accordion
0,accordion
0,accordion
22,accordion
13,accordion
11,accordion
2,accordion
0,accordion
11,accordion
25,accordion
34,accordion
27,accordion
25,accordion
24,accordion
14,accordion
22,accordion
26,accordion
25,accordion
23,accordion
0,accordion
16,accordion
0,accordion
24,accordion
8,accordion
18,accordion
5,accordion
23,accordion
18,accordion
25,accordion
16,accordion
